,Name,NumberOfShots,Team
323,T. Bradley - bradlto01,10.0,UTA
326,J. Clarkson - clarkjo01,9.0,UTA
331,R. Gobert - goberru01,8.0,UTA
322,G. Niang - niangge01,6.0,UTA
330,J. Green - greenje02,5.0,UTA
324,D. Mitchell - mitchdo01,3.0,UTA
329,D. Exum - exumda01,3.0,UTA
325,B. Bogdanović - bogdabo02,2.0,UTA
327,E. Davis - davised01,1.0,UTA
328,J. Ingles - inglejo01,1.0,UTA
