,Name,NumberOfShots,Team
119,M. Plumlee - plumlma01,100.0,DEN
114,J. Grant - grantje01,75.0,DEN
112,M. Porter - portemi01,43.0,DEN
113,J. Murray - murraja01,32.0,DEN
109,G. Harris - harriga01,26.0,DEN
104,W. Barton - bartowi01,25.0,DEN
115,N. Jokić - jokicni01,22.0,DEN
108,P. Millsap - millspa01,21.0,DEN
105,J. Hernangómez - hernaju01,16.0,DEN
100,N. Vonleh - vonleno01,14.0,DEN
