,Name,NumberOfShots,Team
79,Tristan Thompson,95.0,CLE
83,Andre Drummond,95.0,CLE
82,Larry Nance,73.0,CLE
86,Kevin Porter,36.0,CLE
81,John Henson,29.0,CLE
76,Collin Sexton,23.0,CLE
74,Jordan Clarkson,12.0,CLE
85,Alfonzo McKinnie,10.0,CLE
84,Dante Exum,7.0,CLE
77,Dean Wade,4.0,CLE
