,Name,NumberOfShots,Team
264,Karl-Anthony Towns,38.0,MIN
284,Andrew Wiggins,31.0,MIN
274,Jarrett Culver,31.0,MIN
273,Josh Okogie,30.0,MIN
262,Gorgui Dieng,28.0,MIN
266,Juan Hernangómez,16.0,MIN
267,Noah Vonleh,14.0,MIN
270,Robert Covington,13.0,MIN
278,Malik Beasley,13.0,MIN
275,Jake Layman,12.0,MIN
