,Name,NumberOfShots,Team
425,OG Anunoby,94.0,TOR
427,Serge Ibaka,60.0,TOR
428,Pascal Siakam,46.0,TOR
421,Chris Boucher,44.0,TOR
424,Norman Powell,38.0,TOR
426,Rondae Hollis-Jefferson,27.0,TOR
420,Terence Davis,18.0,TOR
422,Marc Gasol,9.0,TOR
423,Oshae Brissett,6.0,TOR
419,Paul Watson,4.0,TOR
