,Name,NumberOfShots,Team
238,B. Adebayo - adebaba01,201.0,MIA
243,D. Jones - jonesde02,87.0,MIA
237,J. Butler - butleji01,75.0,MIA
236,M. Leonard - leoname01,30.0,MIA
242,K. Nunn - nunnke01,22.0,MIA
232,C. Silva - silvach01,19.0,MIA
245,A. Iguodala - iguodan01,15.0,MIA
241,J. Johnson - johnsja01,12.0,MIA
246,K. Olynyk - olynyke01,10.0,MIA
235,J. Crowder - crowdja01,5.0,MIA
