,Name,NumberOfShots,Team
255,Jae Crowder,190.0,MEM
249,Dillon Brooks,151.0,MEM
257,Jaren Jackson,145.0,MEM
261,Solomon Hill,65.0,MEM
250,Ja Morant,63.0,MEM
246,Grayson Allen,57.0,MEM
252,Gorgui Dieng,54.0,MEM
242,Anthony Tolliver,50.0,MEM
248,Tyus Jones,47.0,MEM
258,De'Anthony Melton,41.0,MEM
