,Name,NumberOfShots,Team
349,Lonzo Ball,124.0,NOP
352,Jrue Holiday,119.0,NOP
360,Brandon Ingram,95.0,NOP
354,Josh Hart,46.0,NOP
351,J.J. Redick,43.0,NOP
344,Nickeil Alexander-Walker,35.0,NOP
345,Zion Williamson,31.0,NOP
358,Derrick Favors,23.0,NOP
346,Nicolò Melli,22.0,NOP
353,Jaxson Hayes,21.0,NOP
