,Name,NumberOfShots,Team
22,J. Brown - brownja02,206.0,BOS
34,J. Tatum - tatumja01,205.0,BOS
28,K. Walker - walkeke02,146.0,BOS
36,G. Hayward - haywago01,110.0,BOS
32,D. Theis - theisda01,105.0,BOS
29,B. Wanamaker - wanambr01,88.0,BOS
26,M. Smart - smartma01,65.0,BOS
24,G. Williams - willigr01,44.0,BOS
23,R. Williams - williro04,28.0,BOS
33,J. Green - greenja02,22.0,BOS
