,Name,NumberOfShots,Team
101,Andre Drummond,93.0,CLE
97,Tristan Thompson,50.0,CLE
99,John Henson,42.0,CLE
100,Larry Nance,22.0,CLE
93,Kevin Love,19.0,CLE
98,Cedi Osman,16.0,CLE
92,Jordan Clarkson,16.0,CLE
106,Kevin Porter,14.0,CLE
103,Dante Exum,8.0,CLE
104,Alfonzo McKinnie,8.0,CLE
