,Name,NumberOfShots,Team
99,Collin Sexton,513.0,CLE
96,Jordan Clarkson,439.0,CLE
106,Andre Drummond,418.0,CLE
97,Kevin Love,327.0,CLE
102,Tristan Thompson,288.0,CLE
98,Darius Garland,280.0,CLE
103,Cedi Osman,266.0,CLE
105,Larry Nance,229.0,CLE
111,Kevin Porter,186.0,CLE
104,John Henson,95.0,CLE
