,Name,NumberOfShots,Team
165,J. Valančiūnas - valanjo01,80.0,MEM
173,J. Jackson - jacksja02,33.0,MEM
169,D. Brooks - brookdi01,5.0,MEM
170,G. Dieng - dienggo01,4.0,MEM
172,B. Clarke - clarkbr01,3.0,MEM
174,D. Melton - meltode01,3.0,MEM
167,G. Allen - allengr01,2.0,MEM
171,B. Caboclo - cabocbr01,2.0,MEM
164,A. Tolliver - tollian01,1.0,MEM
166,J. Bell - belljo01,1.0,MEM
