,Name,NumberOfShots,Team
33,Jayson Tatum,354.0,BOS
27,Kemba Walker,278.0,BOS
21,Jaylen Brown,229.0,BOS
25,Marcus Smart,176.0,BOS
28,Brad Wanamaker,140.0,BOS
35,Gordon Hayward,131.0,BOS
31,Daniel Theis,113.0,BOS
23,Grant Williams,46.0,BOS
24,Semi Ojeleye,30.0,BOS
32,Javonte Green,28.0,BOS
