,Name,NumberOfShots,Team
112,Luka Dončić,632.0,DAL
116,Kristaps Porziņģis,566.0,DAL
119,Dorian Finney-Smith,439.0,DAL
128,Maxi Kleber,427.0,DAL
125,Willie Cauley-Stein,315.0,DAL
121,Delon Wright,283.0,DAL
115,Tim Hardaway,253.0,DAL
113,Boban Marjanović,232.0,DAL
127,Dwight Powell,227.0,DAL
123,Justin Jackson,157.0,DAL
