,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
229001,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,720,PHO,Jump ball: A. Baynes vs. R. Holmes (D. Booker gains possession),0,SAC,,0,,,,,,,,,,,,,,,,,,,,,,,,A. Baynes - baynear01,R. Holmes - holmeri01,D. Booker - bookede01,
229002,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,698,PHO,K. Oubre makes 2-pt jump shot from 18 ft (assist by D. Booker),2,SAC,,0,K. Oubre - oubreke01,2-pt jump shot,make,18.0,D. Booker - bookede01,,,,,,,,,,,,,,,,,,,,,,
229003,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,684,PHO,,2,SAC,C. Joseph misses 3-pt jump shot from 26 ft,0,C. Joseph - josepco01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,
229004,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,681,PHO,Defensive rebound by K. Oubre,2,SAC,,0,,,,,,,,,,K. Oubre - oubreke01,defensive,,,,,,,,,,,,,,,,
229005,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,672,PHO,R. Rubio makes 2-pt layup from 2 ft,4,SAC,,0,R. Rubio - rubiori01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,
229006,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,664,PHO,Violation by Team (kicked ball),4,SAC,,0,,,,,,,,,,,,Team,kicked ball,,,,,,,,,,,,,,
229007,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,660,PHO,,4,SAC,Personal foul by K. Oubre (drawn by H. Barnes),0,,,,,,,personal,K. Oubre - oubreke01,H. Barnes - barneha02,,,,,,,,,,,,,,,,,,
229008,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,648,PHO,,4,SAC,N. Bjelica misses 2-pt hook shot from 8 ft,0,N. Bjelica - bjeline01,2-pt hook shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,
229009,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,644,PHO,Defensive rebound by K. Oubre,4,SAC,,0,,,,,,,,,,K. Oubre - oubreke01,defensive,,,,,,,,,,,,,,,,
229010,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,634,PHO,D. ari misses 2-pt layup from 5 ft,4,SAC,,0,D. Šarić - saricda01,2-pt layup,miss,5.0,,,,,,,,,,,,,,,,,,,,,,,
229011,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,634,PHO,,4,SAC,Defensive rebound by C. Joseph,0,,,,,,,,,,C. Joseph - josepco01,defensive,,,,,,,,,,,,,,,,
229012,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,624,PHO,,4,SAC,B. Hield misses 2-pt jump shot from 17 ft,0,B. Hield - hieldbu01,2-pt jump shot,miss,17.0,,,,,,,,,,,,,,,,,,,,,,,
229013,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,619,PHO,Defensive rebound by D. Booker,4,SAC,,0,,,,,,,,,,D. Booker - bookede01,defensive,,,,,,,,,,,,,,,,
229014,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,610,PHO,D. Booker misses 3-pt jump shot from 26 ft,4,SAC,,0,D. Booker - bookede01,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,
229015,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,608,PHO,,4,SAC,Defensive rebound by N. Bjelica,0,,,,,,,,,,N. Bjelica - bjeline01,defensive,,,,,,,,,,,,,,,,
229016,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,606,PHO,,4,SAC,R. Holmes makes 2-pt layup from 1 ft (assist by B. Hield),2,R. Holmes - holmeri01,2-pt layup,make,1.0,B. Hield - hieldbu01,,,,,,,,,,,,,,,,,,,,,,
229017,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,606,PHO,,4,SAC,Shooting foul by A. Baynes (drawn by R. Holmes),2,,,,,,,shooting,A. Baynes - baynear01,R. Holmes - holmeri01,,,,,,,,,,,,,,,,,,
229018,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,606,PHO,,4,SAC,R. Holmes makes free throw 1 of 1,3,,,,,,,,,,,,,,,R. Holmes - holmeri01,make,1 of 1,,,,,,,,,,
229019,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,596,PHO,Offensive foul by A. Baynes (drawn by C. Joseph),4,SAC,,3,,,,,,,offensive,A. Baynes - baynear01,C. Joseph - josepco01,,,,,,,,,,,,,,,,,,
229020,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,596,PHO,Turnover by A. Baynes (offensive foul),4,SAC,,3,,,,,,,,,,,,,,,,,,,,A. Baynes - baynear01,offensive foul,,,,,,
229021,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,596,PHO,F. Kaminsky enters the game for A. Baynes,4,SAC,,3,,,,,,,,,,,,,,,,,,F. Kaminsky - kaminfr01,A. Baynes - baynear01,,,,,,,,
229022,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,582,PHO,,4,SAC,H. Barnes makes 2-pt hook shot from 8 ft,5,H. Barnes - barneha02,2-pt hook shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,,
229023,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,567,PHO,D. ari misses 3-pt jump shot from 25 ft,4,SAC,,5,D. Šarić - saricda01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
229024,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,564,PHO,,4,SAC,Defensive rebound by H. Barnes,5,,,,,,,,,,H. Barnes - barneha02,defensive,,,,,,,,,,,,,,,,
229025,/boxscores/201912280SAC.html,regular,Golden 1 Center Sacramento California,December 28 2019,9:00 PM,PHO,1,554,PHO,,4,SAC,Turnover by N. Bjelica (bad pass; steal by D. ari),5,,,,,,,,,,,,,,,,,,,,N. Bjelica - bjeline01,bad pass,steal,D. Šarić - saricda01,,,,
