,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
27684,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,720,MIN,Jump ball: K. Towns vs. J. Embiid (J. Teague gains possession),0,PHI,,0,,,,,,,,,,,,,,,,,,,,,,,,K. Towns - townska01,J. Embiid - embiijo01,J. Teague - teaguje01,
27685,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,706,MIN,R. Covington misses 2-pt layup from 4 ft (block by B. Simmons),0,PHI,,0,R. Covington - covinro01,2-pt layup,miss,4.0,,B. Simmons - simmobe01,,,,,,,,,,,,,,,,,,,,,
27686,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,703,MIN,,0,PHI,Defensive rebound by J. Richardson,0,,,,,,,,,,J. Richardson - richajo01,defensive,,,,,,,,,,,,,,,,
27687,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,692,MIN,,0,PHI,J. Embiid makes 2-pt jump shot from 12 ft,2,J. Embiid - embiijo01,2-pt jump shot,make,12.0,,,,,,,,,,,,,,,,,,,,,,,
27688,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,682,MIN,T. Graham misses 3-pt jump shot from 27 ft,0,PHI,,2,T. Graham - grahatr01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,
27689,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,679,MIN,,0,PHI,Defensive rebound by T. Harris,2,,,,,,,,,,T. Harris - harrito02,defensive,,,,,,,,,,,,,,,,
27690,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,673,MIN,,0,PHI,B. Simmons makes 2-pt dunk from 1 ft (assist by T. Harris),4,B. Simmons - simmobe01,2-pt dunk,make,1.0,T. Harris - harrito02,,,,,,,,,,,,,,,,,,,,,,
27691,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,655,MIN,J. Teague makes 3-pt jump shot from 26 ft,3,PHI,,4,J. Teague - teaguje01,3-pt jump shot,make,26.0,,,,,,,,,,,,,,,,,,,,,,,
27692,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,645,MIN,,3,PHI,B. Simmons misses 2-pt jump shot from 7 ft,4,B. Simmons - simmobe01,2-pt jump shot,miss,7.0,,,,,,,,,,,,,,,,,,,,,,,
27693,/boxscores/201910300PHI.html,regular,Wells Fargo Center Philadelphia Pennsylvania,October 30 2019,7:00 PM,PHI,1,643,MIN,Defensive rebound by K. Towns,3,PHI,,4,,,,,,,,,,K. Towns - townska01,defensive,,,,,,,,,,,,,,,,
