,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
232659,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,720,ATL,Jump ball: B. Fernando vs. N. Vuevi (J. Collins gains possession),0,ORL,,0,,,,,,,,,,,,,,,,,,,,,,,,B. Fernando - fernabr01,N. Vučević - vucevni01,J. Collins - collijo01,
232660,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,699,ATL,J. Collins makes 2-pt jump shot from 7 ft (assist by K. Huerter),2,ORL,,0,J. Collins - collijo01,2-pt jump shot,make,7.0,K. Huerter - huertke01,,,,,,,,,,,,,,,,,,,,,,
232661,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,686,ATL,,2,ORL,Shooting foul by B. Fernando (drawn by J. Isaac),0,,,,,,,shooting,B. Fernando - fernabr01,J. Isaac - isaacjo01,,,,,,,,,,,,,,,,,,
232662,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,686,ATL,,2,ORL,J. Isaac misses free throw 1 of 2,0,,,,,,,,,,,,,,,J. Isaac - isaacjo01,miss,1 of 2,,,,,,,,,,
232663,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,686,ATL,,2,ORL,Offensive rebound by Team,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
232664,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,686,ATL,,2,ORL,J. Isaac makes free throw 2 of 2,1,,,,,,,,,,,,,,,J. Isaac - isaacjo01,make,2 of 2,,,,,,,,,,
232665,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,679,ATL,Offensive foul by J. Collins (drawn by M. Fultz),2,ORL,,1,,,,,,,offensive,J. Collins - collijo01,M. Fultz - fultzma01,,,,,,,,,,,,,,,,,,
232666,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,679,ATL,Turnover by J. Collins (offensive foul),2,ORL,,1,,,,,,,,,,,,,,,,,,,,J. Collins - collijo01,offensive foul,,,,,,
232667,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,666,ATL,,2,ORL,J. Isaac misses 2-pt jump shot from 19 ft,1,J. Isaac - isaacjo01,2-pt jump shot,miss,19.0,,,,,,,,,,,,,,,,,,,,,,,
232668,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,664,ATL,Defensive rebound by D. Hunter,2,ORL,,1,,,,,,,,,,D. Hunter - huntede01,defensive,,,,,,,,,,,,,,,,
232669,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,657,ATL,Turnover by J. Collins (traveling),2,ORL,,1,,,,,,,,,,,,,,,,,,,,J. Collins - collijo01,traveling,,,,,,
232670,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,637,ATL,,2,ORL,M. Fultz misses 2-pt jump shot from 8 ft,1,M. Fultz - fultzma01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,
232671,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,636,ATL,Defensive rebound by B. Fernando,2,ORL,,1,,,,,,,,,,B. Fernando - fernabr01,defensive,,,,,,,,,,,,,,,,
232672,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,626,ATL,K. Huerter misses 2-pt jump shot from 8 ft,2,ORL,,1,K. Huerter - huertke01,2-pt jump shot,miss,8.0,,,,,,,,,,,,,,,,,,,,,,,
232673,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,625,ATL,,2,ORL,Defensive rebound by N. Vuevi,1,,,,,,,,,,N. Vučević - vucevni01,defensive,,,,,,,,,,,,,,,,
232674,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,612,ATL,,2,ORL,M. Fultz misses 2-pt dunk from 4 ft,1,M. Fultz - fultzma01,2-pt dunk,miss,4.0,,,,,,,,,,,,,,,,,,,,,,,
232675,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,611,ATL,,2,ORL,Offensive rebound by J. Isaac,1,,,,,,,,,,J. Isaac - isaacjo01,offensive,,,,,,,,,,,,,,,,
232676,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,606,ATL,,2,ORL,J. Isaac misses 2-pt jump shot from 11 ft,1,J. Isaac - isaacjo01,2-pt jump shot,miss,11.0,,,,,,,,,,,,,,,,,,,,,,,
232677,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,605,ATL,Defensive rebound by B. Fernando,2,ORL,,1,,,,,,,,,,B. Fernando - fernabr01,defensive,,,,,,,,,,,,,,,,
232678,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,600,ATL,Personal foul by J. Isaac (drawn by J. Collins),2,ORL,,1,,,,,,,personal,J. Isaac - isaacjo01,J. Collins - collijo01,,,,,,,,,,,,,,,,,,
232679,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,582,ATL,D. Hunter makes 2-pt jump shot from 12 ft,4,ORL,,1,D. Hunter - huntede01,2-pt jump shot,make,12.0,,,,,,,,,,,,,,,,,,,,,,,
232680,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,582,ATL,Shooting foul by W. Iwundu (drawn by D. Hunter),4,ORL,,1,,,,,,,shooting,W. Iwundu - iwundwe01,D. Hunter - huntede01,,,,,,,,,,,,,,,,,,
232681,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,582,ATL,D. Hunter makes free throw 1 of 1,5,ORL,,1,,,,,,,,,,,,,,,D. Hunter - huntede01,make,1 of 1,,,,,,,,,,
232682,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,569,ATL,,5,ORL,E. Fournier misses 2-pt jump shot from 10 ft,1,E. Fournier - fournev01,2-pt jump shot,miss,10.0,,,,,,,,,,,,,,,,,,,,,,,
232683,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,566,ATL,Defensive rebound by D. Hunter,5,ORL,,1,,,,,,,,,,D. Hunter - huntede01,defensive,,,,,,,,,,,,,,,,
232684,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,551,ATL,K. Huerter misses 3-pt jump shot from 27 ft,5,ORL,,1,K. Huerter - huertke01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,
232685,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,548,ATL,,5,ORL,Defensive rebound by M. Fultz,1,,,,,,,,,,M. Fultz - fultzma01,defensive,,,,,,,,,,,,,,,,
232686,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,538,ATL,,5,ORL,J. Isaac makes 2-pt dunk from 1 ft (assist by N. Vuevi),3,J. Isaac - isaacjo01,2-pt dunk,make,1.0,N. Vučević - vucevni01,,,,,,,,,,,,,,,,,,,,,,
232687,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,520,ATL,K. Huerter makes 3-pt jump shot from 27 ft (assist by C. Reddish),8,ORL,,3,K. Huerter - huertke01,3-pt jump shot,make,27.0,C. Reddish - reddica01,,,,,,,,,,,,,,,,,,,,,,
232688,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,494,ATL,,8,ORL,N. Vuevi misses 2-pt jump shot from 13 ft,3,N. Vučević - vucevni01,2-pt jump shot,miss,13.0,,,,,,,,,,,,,,,,,,,,,,,
232689,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,492,ATL,,8,ORL,Offensive rebound by W. Iwundu,3,,,,,,,,,,W. Iwundu - iwundwe01,offensive,,,,,,,,,,,,,,,,
232690,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,489,ATL,,8,ORL,Shooting foul by B. Fernando (drawn by W. Iwundu),3,,,,,,,shooting,B. Fernando - fernabr01,W. Iwundu - iwundwe01,,,,,,,,,,,,,,,,,,
232691,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,489,ATL,,8,ORL,W. Iwundu makes free throw 1 of 2,4,,,,,,,,,,,,,,,W. Iwundu - iwundwe01,make,1 of 2,,,,,,,,,,
232692,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,489,ATL,V. Carter enters the game for B. Fernando,8,ORL,,4,,,,,,,,,,,,,,,,,,V. Carter - cartevi01,B. Fernando - fernabr01,,,,,,,,
232693,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,489,ATL,,8,ORL,W. Iwundu makes free throw 2 of 2,5,,,,,,,,,,,,,,,W. Iwundu - iwundwe01,make,2 of 2,,,,,,,,,,
232694,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,478,ATL,D. Hunter misses 3-pt jump shot from 23 ft,8,ORL,,5,D. Hunter - huntede01,3-pt jump shot,miss,23.0,,,,,,,,,,,,,,,,,,,,,,,
232695,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,476,ATL,Offensive rebound by J. Collins,8,ORL,,5,,,,,,,,,,J. Collins - collijo01,offensive,,,,,,,,,,,,,,,,
232696,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,471,ATL,D. Hunter misses 2-pt jump shot from 6 ft,8,ORL,,5,D. Hunter - huntede01,2-pt jump shot,miss,6.0,,,,,,,,,,,,,,,,,,,,,,,
232697,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,470,ATL,Offensive rebound by J. Collins,8,ORL,,5,,,,,,,,,,J. Collins - collijo01,offensive,,,,,,,,,,,,,,,,
232698,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,470,ATL,J. Collins misses 2-pt layup from 3 ft,8,ORL,,5,J. Collins - collijo01,2-pt layup,miss,3.0,,,,,,,,,,,,,,,,,,,,,,,
232699,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,468,ATL,,8,ORL,Defensive rebound by M. Fultz,5,,,,,,,,,,M. Fultz - fultzma01,defensive,,,,,,,,,,,,,,,,
232700,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,461,ATL,,8,ORL,E. Fournier misses 3-pt jump shot from 25 ft,5,E. Fournier - fournev01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
232701,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,457,ATL,Defensive rebound by K. Huerter,8,ORL,,5,,,,,,,,,,K. Huerter - huertke01,defensive,,,,,,,,,,,,,,,,
232702,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,452,ATL,Turnover by C. Reddish (traveling),8,ORL,,5,,,,,,,,,,,,,,,,,,,,C. Reddish - reddica01,traveling,,,,,,
232703,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,442,ATL,,8,ORL,M. Fultz makes 2-pt jump shot from 8 ft,7,M. Fultz - fultzma01,2-pt jump shot,make,8.0,,,,,,,,,,,,,,,,,,,,,,,
232704,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,423,ATL,Turnover by K. Huerter (bad pass; steal by M. Fultz),8,ORL,,7,,,,,,,,,,,,,,,,,,,,K. Huerter - huertke01,bad pass,steal,M. Fultz - fultzma01,,,,
232705,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,421,ATL,,8,ORL,E. Fournier misses 2-pt layup from 2 ft,7,E. Fournier - fournev01,2-pt layup,miss,2.0,,,,,,,,,,,,,,,,,,,,,,,
232706,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,420,ATL,,8,ORL,Offensive rebound by J. Isaac,7,,,,,,,,,,J. Isaac - isaacjo01,offensive,,,,,,,,,,,,,,,,
232707,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,420,ATL,,8,ORL,J. Isaac makes 2-pt dunk at rim,9,J. Isaac - isaacjo01,2-pt dunk,make,0.0,,,,,,,,,,,,,,,,,,,,,,,
232708,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,406,ATL,K. Huerter misses 3-pt jump shot from 25 ft,8,ORL,,9,K. Huerter - huertke01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
232709,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,402,ATL,,8,ORL,Defensive rebound by N. Vuevi,9,,,,,,,,,,N. Vučević - vucevni01,defensive,,,,,,,,,,,,,,,,
232710,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,395,ATL,,8,ORL,N. Vuevi makes 2-pt layup from 3 ft (assist by M. Fultz),11,N. Vučević - vucevni01,2-pt layup,make,3.0,M. Fultz - fultzma01,,,,,,,,,,,,,,,,,,,,,,
232711,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,395,ATL,Atlanta full timeout,8,ORL,,11,,,,,,,,,,,,,,ATL,,,,,,,,,,,,,
232712,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,395,ATL,B. Goodwin enters the game for J. Collins,8,ORL,,11,,,,,,,,,,,,,,,,,,B. Goodwin - goodwbr01,J. Collins - collijo01,,,,,,,,
232713,/boxscores/201912300ORL.html,regular,Amway Center Orlando Florida,December 30 2019,7:00 PM,ATL,1,395,ATL,A. Len enters the game for C. Reddish,8,ORL,,11,,,,,,,,,,,,,,,,,,A. Len - lenal01,C. Reddish - reddica01,,,,,,,,
