,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
281966,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,720,ORL,Jump ball: N. Vuevi vs. H. Giles (D. Fox gains possession),0,SAC,,0,,,,,,,,,,,,,,,,,,,,,,,,N. Vučević - vucevni01,H. Giles - gilesha01,D. Fox - foxde01,
281967,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,705,ORL,,0,SAC,Turnover by B. Hield (out of bounds lost ball),0,,,,,,,,,,,,,,,,,,,,B. Hield - hieldbu01,out of bounds lost ball,,,,,,
281968,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,686,ORL,M. Fultz misses 2-pt jump shot from 9 ft,0,SAC,,0,M. Fultz - fultzma01,2-pt jump shot,miss,9.0,,,,,,,,,,,,,,,,,,,,,,,
281969,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,682,ORL,,0,SAC,Defensive rebound by H. Giles,0,,,,,,,,,,H. Giles - gilesha01,defensive,,,,,,,,,,,,,,,,
281970,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,672,ORL,,0,SAC,N. Bjelica makes 2-pt hook shot from 6 ft,2,N. Bjelica - bjeline01,2-pt hook shot,make,6.0,,,,,,,,,,,,,,,,,,,,,,,
281971,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,659,ORL,N. Vuevi misses 3-pt jump shot from 25 ft,0,SAC,,2,N. Vučević - vucevni01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
281972,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,655,ORL,,0,SAC,Defensive rebound by D. Fox,2,,,,,,,,,,D. Fox - foxde01,defensive,,,,,,,,,,,,,,,,
281973,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,644,ORL,,0,SAC,N. Bjelica makes 2-pt layup from 3 ft,4,N. Bjelica - bjeline01,2-pt layup,make,3.0,,,,,,,,,,,,,,,,,,,,,,,
281974,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,626,ORL,E. Fournier makes 2-pt layup from 2 ft,2,SAC,,4,E. Fournier - fournev01,2-pt layup,make,2.0,,,,,,,,,,,,,,,,,,,,,,,
281975,/boxscores/202001130SAC.html,regular,Golden 1 Center Sacramento California,January 13 2020,10:00 PM,ORL,1,621,ORL,,2,SAC,Turnover by D. Fox (bad pass),4,,,,,,,,,,,,,,,,,,,,D. Fox - foxde01,bad pass,,,,,,
