,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
40077,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,720,CHO,Jump ball: C. Zeller vs. W. Cauley-Stein (P. Washington gains possession),0,GSW,,0,,,,,,,,,,,,,,,,,,,,,,,,C. Zeller - zelleco01,W. Cauley-Stein - caulewi01,P. Washington - washipj01,
40078,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,705,CHO,C. Zeller makes 2-pt dunk from 1 ft (assist by D. Bacon),2,GSW,,0,C. Zeller - zelleco01,2-pt dunk,make,1.0,D. Bacon - bacondw01,,,,,,,,,,,,,,,,,,,,,,
40079,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,688,CHO,,2,GSW,J. Poole misses 2-pt jump shot from 19 ft,0,J. Poole - poolejo01,2-pt jump shot,miss,19.0,,,,,,,,,,,,,,,,,,,,,,,
40080,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,686,CHO,,2,GSW,Offensive rebound by Team,0,,,,,,,,,,Team,offensive,,,,,,,,,,,,,,,,
40081,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,679,CHO,,2,GSW,G. Robinson misses 2-pt jump shot from 20 ft,0,G. Robinson - robingl02,2-pt jump shot,miss,20.0,,,,,,,,,,,,,,,,,,,,,,,
40082,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,676,CHO,Defensive rebound by Team,2,GSW,,0,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,
40083,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,662,CHO,Turnover by C. Zeller (lost ball; steal by K. Bowman),2,GSW,,0,,,,,,,,,,,,,,,,,,,,C. Zeller - zelleco01,lost ball,steal,K. Bowman - bowmaky01,,,,
40084,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,653,CHO,,2,GSW,Shooting foul by C. Zeller (drawn by E. Paschall),0,,,,,,,shooting,C. Zeller - zelleco01,E. Paschall - pascher01,,,,,,,,,,,,,,,,,,
40085,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,653,CHO,,2,GSW,E. Paschall makes free throw 1 of 2,1,,,,,,,,,,,,,,,E. Paschall - pascher01,make,1 of 2,,,,,,,,,,
40086,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,653,CHO,,2,GSW,E. Paschall misses free throw 2 of 2,1,,,,,,,,,,,,,,,E. Paschall - pascher01,miss,2 of 2,,,,,,,,,,
40087,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,651,CHO,Defensive rebound by M. Bridges,2,GSW,,1,,,,,,,,,,M. Bridges - bridgmi02,defensive,,,,,,,,,,,,,,,,
40088,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,636,CHO,P. Washington makes 2-pt hook shot from 6 ft (assist by M. Bridges),4,GSW,,1,P. Washington - washipj01,2-pt hook shot,make,6.0,M. Bridges - bridgmi02,,,,,,,,,,,,,,,,,,,,,,
40089,/boxscores/201911020GSW.html,regular,Chase Center San Francisco California,November 2 2019,8:30 PM,CHO,1,611,CHO,,4,GSW,G. Robinson makes 2-pt jump shot from 19 ft (assist by K. Bowman),3,G. Robinson - robingl02,2-pt jump shot,make,19.0,K. Bowman - bowmaky01,,,,,,,,,,,,,,,,,,,,,,
