,URL,GameType,Location,Date,Time,WinningTeam,Quarter,SecLeft,AwayTeam,AwayPlay,AwayScore,HomeTeam,HomePlay,HomeScore,Shooter,ShotType,ShotOutcome,ShotDist,Assister,Blocker,FoulType,Fouler,Fouled,Rebounder,ReboundType,ViolationPlayer,ViolationType,TimeoutTeam,FreeThrowShooter,FreeThrowOutcome,FreeThrowNum,EnterGame,LeaveGame,TurnoverPlayer,TurnoverType,TurnoverCause,TurnoverCauser,JumpballAwayPlayer,JumpballHomePlayer,JumpballPoss,Unnamed: 40
526050,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,720,BOS,Jump ball: D. Theis vs. M. Gasol (J. Tatum gains possession),0,TOR,,0,,,,,,,,,,,,,,,,,,,,,,,,D. Theis - theisda01,M. Gasol - gasolma01,J. Tatum - tatumja01,
526051,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,701,BOS,J. Brown makes 3-pt jump shot from 26 ft (assist by M. Smart),3,TOR,,0,J. Brown - brownja02,3-pt jump shot,make,26.0,M. Smart - smartma01,,,,,,,,,,,,,,,,,,,,,,
526052,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,679,BOS,,3,TOR,M. Gasol misses 2-pt jump shot from 17 ft,0,M. Gasol - gasolma01,2-pt jump shot,miss,17.0,,,,,,,,,,,,,,,,,,,,,,,
526053,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,676,BOS,Defensive rebound by J. Tatum,3,TOR,,0,,,,,,,,,,J. Tatum - tatumja01,defensive,,,,,,,,,,,,,,,,
526054,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,663,BOS,J. Brown misses 3-pt jump shot from 24 ft,3,TOR,,0,J. Brown - brownja02,3-pt jump shot,miss,24.0,,,,,,,,,,,,,,,,,,,,,,,
526055,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,661,BOS,,3,TOR,Defensive rebound by M. Gasol,0,,,,,,,,,,M. Gasol - gasolma01,defensive,,,,,,,,,,,,,,,,
526056,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,654,BOS,,3,TOR,P. Siakam misses 3-pt jump shot from 25 ft,0,P. Siakam - siakapa01,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
526057,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,652,BOS,Defensive rebound by M. Smart,3,TOR,,0,,,,,,,,,,M. Smart - smartma01,defensive,,,,,,,,,,,,,,,,
526058,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,644,BOS,K. Walker misses 3-pt jump shot from 25 ft,3,TOR,,0,K. Walker - walkeke02,3-pt jump shot,miss,25.0,,,,,,,,,,,,,,,,,,,,,,,
526059,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,642,BOS,,3,TOR,Defensive rebound by O. Anunoby,0,,,,,,,,,,O. Anunoby - anunoog01,defensive,,,,,,,,,,,,,,,,
526060,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,636,BOS,,3,TOR,K. Lowry misses 3-pt jump shot from 27 ft,0,K. Lowry - lowryky01,3-pt jump shot,miss,27.0,,,,,,,,,,,,,,,,,,,,,,,
526061,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,633,BOS,Defensive rebound by K. Walker,3,TOR,,0,,,,,,,,,,K. Walker - walkeke02,defensive,,,,,,,,,,,,,,,,
526062,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,625,BOS,J. Brown misses 3-pt jump shot from 26 ft,3,TOR,,0,J. Brown - brownja02,3-pt jump shot,miss,26.0,,,,,,,,,,,,,,,,,,,,,,,
526063,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,624,BOS,,3,TOR,Defensive rebound by Team,0,,,,,,,,,,Team,defensive,,,,,,,,,,,,,,,,
526064,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,608,BOS,,3,TOR,Turnover by P. Siakam (out of bounds lost ball),0,,,,,,,,,,,,,,,,,,,,P. Siakam - siakapa01,out of bounds lost ball,,,,,,
526065,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,598,BOS,K. Walker makes 2-pt layup from 1 ft,5,TOR,,0,K. Walker - walkeke02,2-pt layup,make,1.0,,,,,,,,,,,,,,,,,,,,,,,
526066,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,574,BOS,,5,TOR,O. Anunoby makes 3-pt jump shot from 22 ft (assist by F. VanVleet),3,O. Anunoby - anunoog01,3-pt jump shot,make,22.0,F. VanVleet - vanvlfr01,,,,,,,,,,,,,,,,,,,,,,
526067,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,564,BOS,Personal foul by F. VanVleet (drawn by K. Walker),5,TOR,,3,,,,,,,personal,F. VanVleet - vanvlfr01,K. Walker - walkeke02,,,,,,,,,,,,,,,,,,
526068,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,554,BOS,Turnover by M. Smart (traveling),5,TOR,,3,,,,,,,,,,,,,,,,,,,,M. Smart - smartma01,traveling,,,,,,
526069,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,542,BOS,,5,TOR,K. Lowry misses 2-pt layup from 2 ft (block by K. Walker),3,K. Lowry - lowryky01,2-pt layup,miss,2.0,,K. Walker - walkeke02,,,,,,,,,,,,,,,,,,,,,
526070,/boxscores/202009070TOR.html,playoff,HP Field House Bay Lake Florida,September 7 2020,6:30 PM,BOS,1,540,BOS,Defensive rebound by J. Brown,5,TOR,,3,,,,,,,,,,J. Brown - brownja02,defensive,,,,,,,,,,,,,,,,
