,Name,NumberOfShots,Team
190,Domantas Sabonis,39.0,IND
199,T.J. McConnell,28.0,IND
192,Malcolm Brogdon,27.0,IND
194,T.J. Warren,24.0,IND
195,Victor Oladipo,21.0,IND
198,Myles Turner,19.0,IND
193,Aaron Holiday,12.0,IND
189,Jeremy Lamb,8.0,IND
191,Justin Holiday,8.0,IND
197,Edmond Sumner,5.0,IND
