,Name,NumberOfShots,Team
50,Caris LeVert,30.0,BRK
33,Joe Harris,20.0,BRK
39,Jarrett Allen,16.0,BRK
34,Taurean Prince,15.0,BRK
48,Kyrie Irving,15.0,BRK
49,Spencer Dinwiddie,14.0,BRK
51,Timothé Luwawu-Cabarrot,11.0,BRK
41,Džanan Musa,10.0,BRK
35,Taurean Prince,9.0,BRK
47,Garrett Temple,8.0,BRK
