,Name,NumberOfShots,Team
330,Robert Covington,145.0,MIN
326,Shabazz Napier,69.0,MIN
333,Josh Okogie,68.0,MIN
334,Jarrett Culver,57.0,MIN
321,Gorgui Dieng,51.0,MIN
340,D'Angelo Russell,48.0,MIN
344,Andrew Wiggins,45.0,MIN
343,Jeff Teague,44.0,MIN
338,Malik Beasley,40.0,MIN
322,Jordan McLaughlin,34.0,MIN
