,Name,NumberOfShots,Team
377,J. Randle - randlju01,198.0,NYK
369,R. Barrett - barrerj01,141.0,NYK
378,E. Payton - paytoel01,102.0,NYK
372,T. Gibson - gibsota01,77.0,NYK
371,B. Portis - portibo01,71.0,NYK
375,M. Robinson - robinmi01,61.0,NYK
376,M. Harkless - harklma01,51.0,NYK
379,M. Morris - morrima03,48.0,NYK
370,F. Ntilikina - ntilila01,35.0,NYK
365,K. Knox - knoxke01,33.0,NYK
