,Name,NumberOfShots,Team
385,Julius Randle,471.0,NYK
387,Marcus Morris,304.0,NYK
379,Bobby Portis,258.0,NYK
383,Mitchell Robinson,242.0,NYK
377,RJ Barrett,229.0,NYK
384,Maurice Harkless,185.0,NYK
386,Elfrid Payton,160.0,NYK
380,Taj Gibson,156.0,NYK
373,Kevin Knox,156.0,NYK
378,Frank Ntilikina,98.0,NYK
