,Name,NumberOfShots,Team
529,Bradley Beal,73.0,WAS
534,Shabazz Napier,55.0,WAS
546,Ish Smith,45.0,WAS
540,Isaiah Thomas,34.0,WAS
528,Dāvis Bertāns,30.0,WAS
531,Troy Brown,30.0,WAS
542,Jerome Robinson,25.0,WAS
538,Isaac Bonga,20.0,WAS
536,Jordan McRae,17.0,WAS
544,Chris Chiozza,17.0,WAS
