,Name,NumberOfShots,Team
506,Kyle Lowry,91.0,TOR
493,Fred VanVleet,50.0,TOR
505,Pascal Siakam,48.0,TOR
494,Terence Davis,28.0,TOR
501,OG Anunoby,28.0,TOR
504,Serge Ibaka,21.0,TOR
496,Marc Gasol,20.0,TOR
500,Norman Powell,19.0,TOR
503,Rondae Hollis-Jefferson,17.0,TOR
495,Chris Boucher,9.0,TOR
