,id,Name,Pos,Ht,Wt,Team
334,meltode01,De'Anthony Melton,G,187.96,90.72,MEM
335,metuch01,Chimezie Metu,F,205.74,102.06,SAS
336,middlkh01,Khris Middleton,F-G,200.66,100.7,MIL
337,mikaer01,Eric Mika,C,208.28,104.33,SAC
338,milescj01,C.J. Miles,G-F,198.12,99.79,WAS
339,millema01,Malcolm Miller,F,200.66,95.25,TOR
340,millspa01,Paul Millsap,F,200.66,116.57,DEN
341,millspa02,Patty Mills,G,185.42,81.65,SAS
342,miltosh01,Shake Milton,G,195.58,92.99,PHI
343,mitchdo01,Donovan Mitchell,G,185.42,97.52,UTA
344,mitrona01,Naz Mitrou-Long,G,190.5,98.88,IND
345,mokokad01,Adam Mokoka,G,193.04,86.18,CHI
346,monkma01,Malik Monk,G,190.5,90.72,CHO
347,moonema01,Matt Mooney,G,190.5,90.26,CLE
348,mooreet01,E'Twaun Moore,G-F,190.5,86.64,NOP
349,moranja01,Ja Morant,G,190.5,78.93,MEM
350,morgaju01,Juwan Morgan,F,200.66,105.23,UTA
351,morrima02,Markieff Morris,F,205.74,111.13,LAL/DET
352,morrima03,Marcus Morris,F,203.2,98.88,LAC/NYK
353,morrimo01,Monte Morris,G,187.96,83.01,DEN
354,motlejo01,Johnathan Motley,F,203.2,104.33,LAC
355,mudiaem01,Emmanuel Mudiay,G,190.5,90.72,UTA
356,muldemy01,Mychal Mulder,G-F,190.5,83.46,GSW
357,murrade01,Dejounte Murray,G,193.04,81.65,SAS
358,murraja01,Jamal Murray,G,190.5,97.52,DEN
359,musadz01,Džanan Musa,G-F,205.74,98.43,BRK
360,muscami01,Mike Muscala,F-C,208.28,108.86,OKC
361,mykhasv01,Svi Mykhailiuk,G-F,200.66,92.99,DET
362,naderab01,Abdel Nader,F,195.58,102.06,OKC
363,nancela02,Larry Nance,F-C,200.66,111.13,CLE
364,napiesh01,Shabazz Napier,G,182.88,79.38,MIN/WAS
365,netora01,Raul Neto,G,185.42,81.65,PHI
366,newmama01,Malik Newman,G,190.5,86.18,CLE
367,niangge01,Georges Niang,F,200.66,104.33,UTA
368,noahjo01,Joakim Noah,C,210.82,104.33,LAC
369,noelne01,Nerlens Noel,C-F,210.82,99.79,OKC
370,norveza01,Zach Norvell,G,195.58,93.44,LAL/GSW
371,nowelja01,Jaylen Nowell,G,193.04,91.17,MIN
372,ntilila01,Frank Ntilikina,G,193.04,90.72,NYK
373,nunnke01,Kendrick Nunn,G,187.96,86.18,MIA
374,nurkiju01,Jusuf Nurkić,C,210.82,131.54,POR
375,nwabada01,David Nwaba,G,195.58,99.34,BRK
376,ojelese01,Semi Ojeleye,F,198.12,108.86,BOS
377,okafoja01,Jahlil Okafor,C-F,208.28,122.47,NOP
378,okoboel01,Elie Okobo,G,190.5,86.18,PHO
379,okogijo01,Josh Okogie,G,193.04,96.62,MIN
380,okpalkz01,KZ Okpala,F,203.2,97.52,MIA
381,oladivi01,Victor Oladipo,G,193.04,96.62,IND
382,olynyke01,Kelly Olynyk,C-F,210.82,108.86,MIA
383,onealro01,Royce O'Neale,F,193.04,102.51,UTA
384,onimi01,Miye Oni,G,195.58,93.44,UTA
385,oquinky01,Kyle O'Quinn,F-C,205.74,113.4,PHI
386,osmande01,Cedi Osman,F,200.66,104.33,CLE
387,oubreke01,Kelly Oubre,F,200.66,92.08,PHO
388,owensta01,Tariq Owens,F,208.28,92.99,PHO
389,pargoje01,Jeremy Pargo,G,187.96,99.34,GSW
390,parkeja01,Jabari Parker,F,203.2,111.13,SAC/ATL
391,parsoch01,Chandler Parsons,F,205.74,104.33,ATL
392,pascher01,Eric Paschall,F,198.12,115.67,GSW
393,pasecan01,Anžejs Pasečņiks,C,215.9,103.87,WAS
394,pattepa01,Patrick Patterson,F,203.2,106.59,LAC
395,pattoju01,Justin Patton,C,210.82,109.32,OKC
396,paulch01,Chris Paul,G,182.88,79.38,OKC
397,payneca01,Cameron Payne,G,185.42,83.01,PHO
398,paytoel01,Elfrid Payton,G,190.5,88.45,NYK
399,paytoga02,Gary Payton,G,190.5,86.18,WAS
400,pelleno01,Norvel Pelle,F-C,208.28,104.78,PHI
401,pinsoth01,Theo Pinson,G,195.58,96.16,BRK
402,plumlma01,Mason Plumlee,C-F,210.82,115.21,DEN
403,poeltja01,Jakob Poeltl,C,215.9,111.13,SAS
404,poirivi01,Vincent Poirier,C,213.36,106.59,BOS
405,pondssh01,Shamorie Ponds,G,182.88,81.65,TOR
406,poolejo01,Jordan Poole,G,193.04,88.0,GSW
407,porteke02,Kevin Porter,G,193.04,92.08,CLE
408,portemi01,Michael Porter,F,208.28,98.88,DEN
409,porteot01,Otto Porter,F,203.2,89.81,CHI
410,portibo01,Bobby Portis,F,208.28,113.4,NYK
411,porzikr01,Kristaps Porziņģis,F-C,220.98,108.86,DAL
412,poweldw01,Dwight Powell,F-C,208.28,108.86,DAL
413,powelno01,Norman Powell,G,190.5,97.52,TOR
414,princta02,Taurean Prince,F,200.66,98.88,BRK
415,randlch01,Chasson Randle,G,187.96,83.91,GSW
416,randlju01,Julius Randle,F-C,203.2,113.4,NYK
417,reavejo02,Josh Reaves,G,193.04,97.07,DAL
418,reddica01,Cam Reddish,F,203.2,98.88,ATL
419,redicjj01,J.J. Redick,G,190.5,90.72,NOP
420,reidna01,Naz Reid,F,205.74,119.75,MIN
421,richajo01,Josh Richardson,G,195.58,90.72,PHI
422,riverau01,Austin Rivers,G,193.04,90.72,HOU
423,roberan03,Andre Roberson,G-F,200.66,95.25,OKC
424,robindu01,Duncan Robinson,G-F,200.66,97.52,MIA
425,robingl02,Glenn Robinson,G-F,198.12,100.7,PHI/GSW
426,robinje01,Jerome Robinson,G,193.04,86.18,LAC/WAS
427,robinju01,Justin Robinson,G,185.42,88.45,WAS
428,robinmi01,Mitchell Robinson,C,213.36,108.86,NYK
429,robyis01,Isaiah Roby,F,203.2,104.33,OKC
430,rondora01,Rajon Rondo,G,185.42,81.65,LAL
431,rosede01,Derrick Rose,G,187.96,90.72,DET
432,rosste01,Terrence Ross,F-G,198.12,93.44,ORL
433,roziete01,Terry Rozier,G,185.42,86.18,CHO
434,rubiori01,Ricky Rubio,G,187.96,86.18,PHO
435,russeda01,D'Angelo Russell,G,193.04,87.54,MIN/GSW
436,sabondo01,Domantas Sabonis,F-C,210.82,108.86,IND
