,Name,NumberOfShots,Team
318,Giannis Antetokounmpo,167.0,MIL
306,Brook Lopez,77.0,MIL
302,Donte DiVincenzo,74.0,MIL
309,Pat Connaughton,65.0,MIL
311,Ersan İlyasova,62.0,MIL
304,Robin Lopez,56.0,MIL
316,George Hill,55.0,MIL
305,Khris Middleton,49.0,MIL
315,Eric Bledsoe,48.0,MIL
313,Marvin Williams,43.0,MIL
