,FoulType,Name,NumberOfShots,Team
2074,shooting,Nerlens Noel,96.0,OKC
2080,shooting,Terrance Ferguson,68.0,OKC
2099,shooting,Steven Adams,65.0,OKC
2085,shooting,Shai Gilgeous-Alexander,62.0,OKC
2134,shooting,Luguentz Dort,54.0,OKC
2126,shooting,Dennis Schröder,50.0,OKC
2140,shooting,Hamidou Diallo,47.0,OKC
2116,shooting,Chris Paul,47.0,OKC
2095,shooting,Mike Muscala,40.0,OKC
2070,shooting,Abdel Nader,40.0,OKC
