,FoulType,Name,NumberOfShots,Team
462,personal,Devonte' Graham,56.0,CHO
468,personal,Marvin Williams,50.0,CHO
449,personal,Terry Rozier,46.0,CHO
418,personal,Miles Bridges,43.0,CHO
476,personal,P.J. Washington,39.0,CHO
482,personal,Cody Zeller,36.0,CHO
426,personal,Bismack Biyombo,29.0,CHO
456,personal,Cody Martin,26.0,CHO
487,personal,Malik Monk,25.0,CHO
409,personal,Dwayne Bacon,17.0,CHO
