,FoulType,Name,NumberOfShots,Team
3001,offensive,Bradley Beal,27.0,WAS
3079,offensive,Moritz Wagner,24.0,WAS
3090,offensive,Thomas Bryant,18.0,WAS
3055,offensive,Ian Mahinmi,11.0,WAS
3010,offensive,Troy Brown,10.0,WAS
3020,offensive,Anžejs Pasečņiks,10.0,WAS
3067,offensive,Rui Hachimura,9.0,WAS
3052,offensive,Isaac Bonga,6.0,WAS
3061,offensive,Isaiah Thomas,6.0,WAS
2995,offensive,Dāvis Bertāns,5.0,WAS
