,FoulType,Name,NumberOfShots,Team
2983,technical,Rudy Gobert,11.0,UTA
2963,technical,Joe Ingles,7.0,UTA
2923,technical,Donovan Mitchell,6.0,UTA
2939,technical,Jordan Clarkson,4.0,UTA
2932,technical,Bojan Bogdanović,3.0,UTA
2916,technical,Royce O'Neale,2.0,UTA
2910,technical,Tony Bradley,1.0,UTA
2978,technical,Jeff Green,1.0,UTA
