,FoulType,Name,NumberOfShots,Team
2645,flagrant,Nemanja Bjelica,2.0,SAC
2604,flagrant,Trevor Ariza,1.0,SAC
2627,flagrant,Caleb Swanigan,1.0,SAC
2660,flagrant,Anthony Tolliver,1.0,SAC
