,FoulType,Name,NumberOfShots,Team
2872,technical,Kyle Lowry,14.0,TOR
2866,technical,Pascal Siakam,6.0,TOR
2790,technical,Fred VanVleet,5.0,TOR
2810,technical,Marc Gasol,4.0,TOR
2796,technical,Terence Davis,2.0,TOR
2835,technical,Norman Powell,1.0,TOR
2842,technical,OG Anunoby,1.0,TOR
2854,technical,Rondae Hollis-Jefferson,1.0,TOR
2861,technical,Serge Ibaka,1.0,TOR
