,FoulType,Name,NumberOfShots,Team
2699,away from play,Bryn Forbes,1.0,SAS
2745,away from play,Dejounte Murray,1.0,SAS
2759,away from play,Patty Mills,1.0,SAS
2765,away from play,Lonnie Walker,1.0,SAS
