,FoulType,Name,NumberOfShots,Team
777,shooting,Nikola Jokić,127.0,DEN
736,shooting,Paul Millsap,104.0,DEN
726,shooting,Torrey Craig,101.0,DEN
771,shooting,Jerami Grant,99.0,DEN
794,shooting,Mason Plumlee,84.0,DEN
759,shooting,Michael Porter,78.0,DEN
764,shooting,Jamal Murray,72.0,DEN
744,shooting,Gary Harris,61.0,DEN
714,shooting,Will Barton,58.0,DEN
731,shooting,Monte Morris,40.0,DEN
