,FoulType,Name,NumberOfShots,Team
1895,flagrant,Jahlil Okafor,1.0,NOP
1902,flagrant,Lonzo Ball,1.0,NOP
1920,flagrant,Jrue Holiday,1.0,NOP
1958,flagrant,Brandon Ingram,1.0,NOP
