,FoulType,Name,NumberOfShots,Team
779,offensive,Nikola Jokić,29.0,DEN
773,offensive,Jerami Grant,28.0,DEN
738,offensive,Paul Millsap,26.0,DEN
796,offensive,Mason Plumlee,19.0,DEN
766,offensive,Jamal Murray,17.0,DEN
761,offensive,Michael Porter,16.0,DEN
745,offensive,Gary Harris,15.0,DEN
716,offensive,Will Barton,12.0,DEN
729,offensive,Torrey Craig,9.0,DEN
786,offensive,Malik Beasley,8.0,DEN
