,FoulType,Name,NumberOfShots,Team
1567,personal take,Jae Crowder,15.0,MIA
1575,personal take,Goran Dragić,8.0,MIA
1602,personal take,Bam Adebayo,8.0,MIA
1553,personal take,Duncan Robinson,6.0,MIA
1643,personal take,Kelly Olynyk,6.0,MIA
1595,personal take,Jimmy Butler,5.0,MIA
1631,personal take,Justise Winslow,4.0,MIA
1582,personal take,Dion Waiters,3.0,MIA
1614,personal take,James Johnson,2.0,MIA
1626,personal take,Derrick Jones,2.0,MIA
