,FoulType,Name,NumberOfShots,Team
2279,shooting,Al Horford,94.0,PHI
2314,shooting,Tobias Harris,93.0,PHI
2320,shooting,Joel Embiid,91.0,PHI
2254,shooting,Matisse Thybulle,75.0,PHI
2351,shooting,James Ennis,69.0,PHI
2340,shooting,Josh Richardson,64.0,PHI
2296,shooting,Shake Milton,61.0,PHI
2269,shooting,Glenn Robinson,60.0,PHI
2262,shooting,Ben Simmons,55.0,PHI
2291,shooting,Alec Burks,51.0,PHI
