,FoulType,Name,NumberOfShots,Team
2464,loose ball,Hassan Whiteside,21.0,POR
2518,loose ball,Carmelo Anthony,15.0,POR
2555,loose ball,Skal Labissière,15.0,POR
2477,loose ball,Gary Trent,10.0,POR
2458,loose ball,Anthony Tolliver,9.0,POR
2482,loose ball,Caleb Swanigan,8.0,POR
2496,loose ball,CJ McCollum,7.0,POR
2537,loose ball,Mario Hezonja,6.0,POR
2524,loose ball,Rodney Hood,5.0,POR
2570,loose ball,Wenyen Gabriel,5.0,POR
