,FoulType,Name,NumberOfShots,Team
1929,personal take,Josh Hart,15.0,NOP
1918,personal take,Jrue Holiday,10.0,NOP
1955,personal take,Brandon Ingram,7.0,NOP
1883,personal take,Nicolò Melli,5.0,NOP
1900,personal take,Lonzo Ball,5.0,NOP
1888,personal take,Kenrich Williams,4.0,NOP
1877,personal take,Zion Williamson,2.0,NOP
1907,personal take,E'Twaun Moore,2.0,NOP
1944,personal take,Zylan Cheatham,2.0,NOP
1950,personal take,Derrick Favors,2.0,NOP
