,Name,NumberOfShots,Team
385,N. Vučević - vucevni01,146.0,ORL
382,M. Fultz - fultzma01,137.0,ORL
390,E. Fournier - fournev01,132.0,ORL
374,T. Ross - rosste01,114.0,ORL
373,A. Gordon - gordoaa01,64.0,ORL
380,D. Augustin - augusdj01,55.0,ORL
379,J. Isaac - isaacjo01,39.0,ORL
389,M. Carter-Williams - cartemi01,28.0,ORL
375,W. Iwundu - iwundwe01,25.0,ORL
384,J. Ennis - ennisja01,21.0,ORL
