,Name,NumberOfShots,Team
415,Ben Simmons,198.0,PHI
425,Tobias Harris,155.0,PHI
426,Joel Embiid,127.0,PHI
421,Alec Burks,98.0,PHI
418,Al Horford,78.0,PHI
431,James Ennis,71.0,PHI
416,Glenn Robinson,68.0,PHI
429,Josh Richardson,66.0,PHI
422,Shake Milton,55.0,PHI
432,Raul Neto,49.0,PHI
