,Name,NumberOfShots,Team
144,Nikola Jokić,222.0,DEN
142,Jamal Murray,159.0,DEN
133,Will Barton,113.0,DEN
136,Monte Morris,109.0,DEN
137,Paul Millsap,104.0,DEN
143,Jerami Grant,103.0,DEN
138,Gary Harris,86.0,DEN
141,Michael Porter,84.0,DEN
135,Torrey Craig,80.0,DEN
148,Mason Plumlee,72.0,DEN
