,FoulType,Name,NumberOfShots,Team
682,personal take,Jamal Murray,14.0,DEN
664,personal take,Gary Harris,10.0,DEN
689,personal take,Jerami Grant,10.0,DEN
636,personal take,Will Barton,9.0,DEN
651,personal take,Monte Morris,9.0,DEN
711,personal take,Mason Plumlee,7.0,DEN
645,personal take,Torrey Craig,5.0,DEN
700,personal take,Malik Beasley,5.0,DEN
669,personal take,Jordan McRae,4.0,DEN
622,personal take,PJ Dozier,3.0,DEN
