,FoulType,Name,NumberOfShots,Team
267,personal take,Caris LeVert,9.0,BRK
179,personal take,Joe Harris,7.0,BRK
262,personal take,Spencer Dinwiddie,6.0,BRK
189,personal take,Taurean Prince,4.0,BRK
246,personal take,Tyler Johnson,4.0,BRK
190,personal take,Taurean Prince,3.0,BRK
222,personal take,Džanan Musa,3.0,BRK
200,personal take,Chris Chiozza,2.0,BRK
252,personal take,Garrett Temple,2.0,BRK
257,personal take,Kyrie Irving,2.0,BRK
