,FoulType,Name,NumberOfShots,Team
500,flagrant,Andre Drummond,2.0,CLE
450,flagrant,Jordan Clarkson,1.0,CLE
469,flagrant,Collin Sexton,1.0,CLE
524,flagrant,Kevin Porter,1.0,CLE
