,FoulType,Name,NumberOfShots,Team
2010,shooting,Joel Embiid,201.0,PHI
1980,shooting,Alec Burks,125.0,PHI
1957,shooting,Ben Simmons,124.0,PHI
2004,shooting,Tobias Harris,113.0,PHI
2035,shooting,James Ennis,50.0,PHI
2026,shooting,Josh Richardson,48.0,PHI
2021,shooting,Furkan Korkmaz,41.0,PHI
1963,shooting,Glenn Robinson,39.0,PHI
1986,shooting,Shake Milton,37.0,PHI
1972,shooting,Al Horford,32.0,PHI
