,Name,NumberOfShots,Team
326,Giannis Antetokounmpo,576.0,MIL
313,Khris Middleton,212.0,MIL
323,Eric Bledsoe,207.0,MIL
314,Brook Lopez,150.0,MIL
324,George Hill,117.0,MIL
310,Donte DiVincenzo,106.0,MIL
318,Wesley Matthews,90.0,MIL
319,Ersan İlyasova,82.0,MIL
321,Marvin Williams,64.0,MIL
312,Robin Lopez,61.0,MIL
