,FoulType,Name,NumberOfShots,Team
2480,loose ball,Kyle Lowry,17.0,TOR
2469,loose ball,Serge Ibaka,15.0,TOR
2429,loose ball,Marc Gasol,14.0,TOR
2423,loose ball,Chris Boucher,13.0,TOR
2464,loose ball,Rondae Hollis-Jefferson,6.0,TOR
2474,loose ball,Pascal Siakam,6.0,TOR
2458,loose ball,OG Anunoby,4.0,TOR
2413,loose ball,Fred VanVleet,3.0,TOR
2452,loose ball,Norman Powell,2.0,TOR
2420,loose ball,Terence Davis,1.0,TOR
