,FoulType,Name,NumberOfShots,Team
2136,loose ball,Hassan Whiteside,36.0,POR
2202,loose ball,Damian Lillard,14.0,POR
2187,loose ball,Jusuf Nurkić,11.0,POR
2213,loose ball,Kent Bazemore,7.0,POR
2147,loose ball,Gary Trent,7.0,POR
2156,loose ball,Zach Collins,7.0,POR
2168,loose ball,Trevor Ariza,6.0,POR
2197,loose ball,Nassir Little,6.0,POR
2193,loose ball,Mario Hezonja,5.0,POR
2208,loose ball,Skal Labissière,5.0,POR
