,FoulType,Name,NumberOfShots,Team
1395,personal,Bam Adebayo,167.0,MIA
1389,personal,Jimmy Butler,156.0,MIA
1375,personal,Goran Dragić,105.0,MIA
1369,personal,Jae Crowder,62.0,MIA
1401,personal,Tyler Herro,59.0,MIA
1435,personal,Kelly Olynyk,58.0,MIA
1354,personal,Duncan Robinson,43.0,MIA
1414,personal,Kendrick Nunn,30.0,MIA
1384,personal,Meyers Leonard,26.0,MIA
1420,personal,Derrick Jones,22.0,MIA
