,FoulType,Name,NumberOfShots,Team
527,personal take,Luka Dončić,18.0,DAL
553,personal take,Trey Burke,10.0,DAL
574,personal take,Seth Curry,8.0,DAL
541,personal take,Tim Hardaway,5.0,DAL
610,personal take,Jalen Brunson,5.0,DAL
561,personal take,Dorian Finney-Smith,4.0,DAL
565,personal take,J.J. Barea,2.0,DAL
570,personal take,Delon Wright,2.0,DAL
549,personal take,Kristaps Porziņģis,1.0,DAL
580,personal take,Justin Jackson,1.0,DAL
