,FoulType,Name,NumberOfShots,Team
16,loose ball,Damian Jones,20.0,ATL
49,loose ball,Alex Len,15.0,ATL
2,loose ball,John Collins,13.0,ATL
62,loose ball,Bruno Fernando,13.0,ATL
53,loose ball,Dewayne Dedmon,11.0,ATL
87,loose ball,Kevin Huerter,6.0,ATL
58,loose ball,DeAndre' Bembry,4.0,ATL
74,loose ball,De'Andre Hunter,4.0,ATL
8,loose ball,Jabari Parker,3.0,ATL
32,loose ball,Treveon Graham,3.0,ATL
