,FoulType,Name,NumberOfShots,Team
2162,personal take,CJ McCollum,12.0,POR
2203,personal take,Damian Lillard,11.0,POR
2141,personal take,Anfernee Simons,7.0,POR
2179,personal take,Carmelo Anthony,4.0,POR
2214,personal take,Kent Bazemore,4.0,POR
2189,personal take,Jusuf Nurkić,3.0,POR
2148,personal take,Gary Trent,2.0,POR
2169,personal take,Trevor Ariza,2.0,POR
2194,personal take,Mario Hezonja,2.0,POR
