,FoulType,Name,NumberOfShots,Team
356,offensive,Ryan Arcidiacono,32.0,CHI
342,offensive,Thaddeus Young,26.0,CHI
352,offensive,Tomáš Satoranský,21.0,CHI
347,offensive,Coby White,16.0,CHI
289,offensive,Daniel Gafford,14.0,CHI
306,offensive,Wendell Carter,10.0,CHI
316,offensive,Chandler Hutchison,10.0,CHI
311,offensive,Kris Dunn,8.0,CHI
321,offensive,Lauri Markkanen,8.0,CHI
329,offensive,Zach LaVine,7.0,CHI
