,Name,NumberOfShots,Team
221,T.J. Warren,566.0,IND
216,Domantas Sabonis,458.0,IND
219,Malcolm Brogdon,352.0,IND
225,Myles Turner,293.0,IND
227,Doug McDermott,271.0,IND
220,Aaron Holiday,245.0,IND
218,Justin Holiday,218.0,IND
215,Jeremy Lamb,216.0,IND
226,T.J. McConnell,215.0,IND
222,Victor Oladipo,119.0,IND
